iter	Passed	Remaining
0	4	2615
1	6	2186
2	9	2042
3	14	2331
4	18	2323
5	21	2224
6	24	2177
7	27	2178
8	31	2182
9	35	2203
10	38	2210
11	42	2231
12	46	2228
13	49	2203
14	52	2177
15	55	2157
16	59	2170
17	62	2164
18	65	2143
19	68	2126
20	72	2126
21	75	2127
22	79	2112
23	82	2108
24	85	2093
25	89	2100
26	92	2082
27	94	2063
28	97	2040
29	99	2021
30	104	2043
31	107	2032
32	110	2016
33	112	1998
34	115	1984
35	117	1970
36	121	1971
37	124	1971
38	127	1955
39	130	1947
40	132	1934
41	136	1933
42	139	1925
43	141	1909
44	144	1900
45	146	1886
46	148	1870
47	151	1864
48	154	1853
49	156	1841
50	159	1834
51	161	1824
52	164	1814
53	167	1816
54	170	1807
55	173	1802
56	175	1793
57	178	1786
58	182	1787
59	185	1783
60	187	1773
61	189	1765
62	192	1752
63	194	1741
64	196	1734
65	199	1733
66	202	1723
67	204	1713
68	206	1704
69	209	1696
70	211	1687
71	214	1686
72	216	1678
73	218	1668
74	221	1662
75	223	1656
76	226	1650
77	230	1655
78	233	1648
79	236	1647
80	238	1642
81	242	1642
82	247	1653
83	250	1649
84	252	1642
85	255	1639
86	258	1634
87	263	1644
88	265	1638
89	267	1630
90	270	1627
91	273	1622
92	279	1636
93	282	1632
94	285	1629
95	287	1624
96	292	1632
97	295	1628
98	298	1625
99	301	1620
100	303	1616
101	308	1620
102	311	1618
103	315	1620
104	332	1686
105	335	1683
106	339	1682
107	343	1684
108	346	1681
109	349	1678
110	352	1673
111	356	1672
112	360	1675
113	363	1669
114	365	1662
115	367	1655
116	371	1655
117	374	1650
118	377	1646
119	380	1640
120	382	1636
121	387	1640
122	390	1636
123	393	1630
124	395	1623
125	397	1617
126	400	1613
127	404	1612
128	407	1607
129	410	1604
130	413	1598
131	415	1594
132	420	1595
133	422	1588
134	424	1582
135	427	1577
136	429	1571
137	434	1576
138	437	1571
139	440	1567
140	443	1562
141	447	1564
142	452	1564
143	455	1562
144	458	1560
145	463	1562
146	468	1563
147	470	1558
148	473	1555
149	476	1551
150	480	1548
151	483	1545
152	486	1540
153	489	1538
154	492	1536
155	497	1538
156	501	1536
157	504	1532
158	507	1527
159	510	1526
160	514	1522
161	517	1520
162	520	1516
163	523	1514
164	529	1517
165	533	1515
166	535	1511
167	539	1507
168	543	1509
169	551	1517
170	554	1514
171	558	1512
172	562	1512
173	566	1511
174	569	1507
175	574	1507
176	577	1502
177	579	1498
178	582	1494
179	585	1490
180	590	1490
181	593	1487
182	596	1482
183	598	1477
184	601	1472
185	606	1473
186	611	1474
187	614	1470
188	617	1466
189	634	1494
190	638	1493
191	641	1489
192	643	1483
193	645	1478
194	648	1473
195	651	1469
196	654	1464
197	657	1460
198	659	1455
199	663	1452
200	665	1446
201	668	1443
202	671	1438
203	673	1433
204	676	1428
205	678	1423
206	681	1418
207	685	1417
208	688	1412
209	691	1409
210	694	1405
211	697	1402
212	702	1400
213	706	1399
214	709	1395
215	712	1391
216	716	1390
217	719	1386
218	722	1381
219	724	1376
220	727	1372
221	731	1370
222	733	1365
223	735	1360
224	738	1355
225	740	1350
226	743	1345
227	746	1343
228	749	1338
229	752	1334
230	754	1329
231	757	1325
232	760	1322
233	763	1318
234	766	1314
235	769	1311
236	772	1306
237	775	1302
238	778	1300
239	781	1295
240	783	1291
241	786	1286
242	788	1282
243	793	1280
244	795	1276
245	798	1272
246	801	1268
247	803	1264
248	807	1261
249	810	1258
250	813	1254
251	816	1250
252	818	1246
253	821	1242
254	825	1239
255	827	1235
256	830	1230
257	833	1226
258	835	1223
259	839	1220
260	841	1215
261	844	1211
262	847	1207
263	849	1203
264	853	1201
265	855	1197
266	858	1192
267	861	1188
268	863	1184
269	866	1180
270	869	1177
271	872	1173
272	874	1169
273	877	1165
274	879	1161
275	882	1156
276	886	1154
277	888	1150
278	891	1147
279	894	1144
280	899	1142
281	903	1141
282	907	1138
283	910	1135
284	913	1131
285	917	1129
286	920	1126
287	923	1122
288	926	1119
289	931	1117
290	935	1115
291	938	1111
292	940	1107
293	943	1104
294	948	1102
295	951	1099
296	954	1096
297	957	1092
298	961	1090
299	965	1088
300	968	1084
301	972	1081
302	975	1078
303	980	1077
304	983	1074
305	987	1071
306	991	1068
307	996	1067
308	1000	1065
309	1003	1062
310	1006	1058
311	1011	1056
312	1014	1053
313	1017	1050
314	1020	1046
315	1025	1044
316	1029	1042
317	1031	1038
318	1035	1035
319	1038	1031
320	1042	1029
321	1044	1025
322	1047	1021
323	1050	1017
324	1053	1014
325	1057	1012
326	1060	1008
327	1063	1004
328	1065	1001
329	1068	997
330	1072	994
331	1075	991
332	1078	987
333	1081	984
334	1084	980
335	1088	978
336	1091	975
337	1094	971
338	1097	968
339	1100	964
340	1103	961
341	1106	958
342	1109	954
343	1112	950
344	1114	946
345	1118	944
346	1122	941
347	1124	937
348	1127	933
349	1129	929
350	1133	926
351	1136	923
352	1139	919
353	1141	916
354	1144	912
355	1147	908
356	1151	906
357	1154	903
358	1157	899
359	1159	895
360	1163	892
361	1166	889
362	1169	885
363	1172	882
364	1175	878
365	1177	874
366	1181	872
367	1183	868
368	1186	865
369	1189	861
370	1192	858
371	1196	855
372	1199	852
373	1202	848
374	1204	844
375	1207	841
376	1212	839
377	1215	836
378	1218	833
379	1221	829
380	1226	827
381	1230	824
382	1233	820
383	1236	817
384	1238	814
385	1243	811
386	1246	808
387	1250	805
388	1254	802
389	1258	800
390	1261	796
391	1264	793
392	1266	789
393	1269	786
394	1271	782
395	1274	778
396	1277	775
397	1280	771
398	1282	768
399	1285	764
400	1287	760
401	1290	757
402	1292	753
403	1295	750
404	1297	746
405	1299	742
406	1301	738
407	1304	735
408	1306	731
409	1308	727
410	1310	723
411	1312	720
412	1315	716
413	1317	712
414	1320	709
415	1322	706
416	1325	702
417	1327	698
418	1329	694
419	1331	691
420	1333	687
421	1337	684
422	1339	680
423	1341	677
424	1343	673
425	1345	669
426	1348	666
427	1350	662
428	1353	659
429	1355	655
430	1357	652
431	1360	648
432	1362	645
433	1364	641
434	1367	638
435	1369	634
436	1371	631
437	1374	627
438	1376	623
439	1379	620
440	1381	617
441	1384	613
442	1386	610
443	1389	606
444	1391	603
445	1393	600
446	1396	596
447	1399	593
448	1401	589
449	1403	586
450	1405	582
451	1407	579
452	1410	575
453	1412	572
454	1415	569
