date,Brent_Crude_Oil,WTI_Crude_Oil,Electricity_Price_USA,Heating_Oil_Price_USA,Natural_Gas_Imports_From_Canada_USA,Natural_Gas_Imports_USA,Natural_Gas_Rotary_Rig_Count_USA,Natural_Gas_Total_Consumption_USA,Total_Natural_Gas_Marketed_Production_USA,Total_Natural_Gas_Underground_Storage_Volume_USA,BCOMCL_INDX,BCOMGC_INDX,BCOMHG_INDX,BCOMNG_INDX,CSI300_INDX,DJI_INDX,DXY_INDX,GSPC_INDX,IXIC_INDX,NYA_INDX,USDEUR_FOREX,XAX_INDX,CPI_Energy_Seasonally_Adjusted_USA,CPI_Index_Seasonally_Adjusted_USA,Fed_Fund_Effective_USA,Kilian_Global_Economy_Index_WORLD,PPI_Manufacturing_Sector_USA,PPI_Mining_Sector_USA,CLI_Comp_Bank_Activity_JPN,CLI_Comp_Business_Situation_DEU,CLI_Comp_Business_Situation_KOR,CLI_Comp_Business_Situation_USA,CLI_Comp_Cars_Registrations_Or_Sales_GBR,CLI_Comp_Cars_Registrations_Or_Sales_IND,CLI_Comp_Construction_JPN,CLI_Comp_Construction_Production_CHN,CLI_Comp_Construction_USA,CLI_Comp_Consumer_Confidence_DEU,CLI_Comp_Consumer_Confidence_GBR,CLI_Comp_Consumer_Confidence_USA,CLI_Comp_Consumer_Prices_GBR,CLI_Comp_Demand_Or_Orders_Inflow_Tendency_DEU,CLI_Comp_Export_Orders_Tendency_DEU,CLI_Comp_Finished_Goods_Stocks_Tendency_DEU,CLI_Comp_Hours_JPN,CLI_Comp_Hours_USA,CLI_Comp_Interest_Rate_Spread_DEU,CLI_Comp_Interest_Rate_Spread_JPN,CLI_Comp_Interest_Rate_Spread_KOR,CLI_Comp_Interest_Rate_Spread_USA,CLI_Comp_Inventories_To_Shipments_KOR,CLI_Comp_Monetary_Aggregates_IND,CLI_Comp_Net_Trade_JPN,CLI_Comp_Orders_DEU,CLI_Comp_Orders_USA,CLI_Comp_Production_Of_Goods_IND,CLI_Comp_Production_Of_Nonmetallic_Products_IND,CLI_Comp_Production_Tendency_GBR,CLI_Comp_Sales_Expectations_JPN,CLI_Comp_Services_Demand_Expectations_DEU,CLI_Comp_Share_Prices_GBR,CLI_Comp_Share_Prices_IND,CLI_Comp_Share_Prices_JPN,CLI_Comp_Share_Prices_KOR,CLI_Comp_Share_Prices_USA,CLI_Comp_Short_Term_Interest_Rate_GBR,CLI_Comp_Short_Term_Interest_Rate_IND,CLI_Comp_Stocks_JPN,CLI_Comp_Stocks_KOR,CLI_Comp_Terms_Of_Trade_KOR,Composite_Leading_Indicator_CHN,Composite_Leading_Indicator_DEU,Composite_Leading_Indicator_GBR,Composite_Leading_Indicator_IND,Composite_Leading_Indicator_JPN,Composite_Leading_Indicator_KOR,Composite_Leading_Indicator_USA,Comprehensive_PMI,Construction_PMI,M_PMI_Comp_Employment,M_PMI_Comp_Expected_Production_and_Business_Activities,M_PMI_Comp_Finished_Goods_Inventory,M_PMI_Comp_Import,M_PMI_Comp_In_Hand_Orders,M_PMI_Comp_Main_Raw_Material_Purchase_Price,M_PMI_Comp_New_Export_Orders,M_PMI_Comp_New_Orders,M_PMI_Comp_Producer_Prices,M_PMI_Comp_Production,M_PMI_Comp_Purchasing_Volume,M_PMI_Comp_Raw_Materials_Inventory,M_PMI_Comp_Supplier_Delivery_Time,Manufacturing_PMI,NM_PMI_Comp_Charge_Price,NM_PMI_Comp_Employment,NM_PMI_Comp_Expected_Business_Activities,NM_PMI_Comp_In_Hand_Orders,NM_PMI_Comp_Intermediate_Input_Price,NM_PMI_Comp_Inventory,NM_PMI_Comp_New_Export_Orders,NM_PMI_Comp_New_Orders,NM_PMI_Comp_Supplier_Delivery_Time,Non_Manufacturing_PMI,Services_PMI,Chemical_Fertilizers_Manufactured_(actual_weight)_Accumulated_YoY,Crude_Steel_Accumulated_YoY,Real_Estate_Floor_Space_of_Commercialized_Buildings_Sold_Accumulated_YoY,Motor_Vehicles_Accumulated_YoY,EU_Aggregated_Gas_Storage_Inventory,EU_Aggregated_LNG_System_Inventory,high_temperature,low_temperature,Natural_Gas_US_Henry_Hub_Gas
2003-09-30,28.09,29.19,7.61,,266841,320676,936,1428550,1638820,7173310,227.44,62.08,81.89,60138.6,,9275.06,92.85,995.97,1786.94,5644.03,0.8577,990.81,142.9,185.1,1.01,47.0087,137.1,124.7,98.3221,99.7167,99.0363,100.541,100.398,100.573,99.4521,39.185,100.03,99.2758,99.5085,99.9222,99.6552,100.006,99.6064,100.529,100.209,99.4859,100.934,99.8437,99.4186,101.517,99.2501,98.5871,100.434,98.9093,99.0238,98.5362,98.7825,99.6168,100.073,100.738,98.3245,99.2758,98.5809,99.3461,98.345,98.8104,98.5442,99.3837,100.343,101.004,101.4,99.8228,99.5418,98.7721,100.223,99.3588,99.5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,51,4.62095
2003-10-31,27.88,29.24,7.39,1.373,273482,331005,941,1553190,1694600,7456710,227.197,61.84,93.9,58638,,9801.12,92.73,1050.71,1932.21,5959.01,0.8632,1063.33,137.8,184.9,1.01,99.7697,138.2,122.7,98.376,99.9684,99.2513,100.944,100.487,100.686,99.4937,36.7546,100.114,99.3337,99.5525,100.202,99.6066,100.31,99.8594,100.459,100.333,99.9085,101.031,100.024,99.6376,101.617,99.5214,98.6395,100.258,99.0437,99.1508,98.6178,98.8058,99.8527,100.261,100.748,98.4525,99.5367,98.7805,99.5242,98.6367,98.8801,98.4712,99.2264,100.363,101.034,101.462,100.048,99.7018,99.0091,100.358,99.6492,99.9766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,33,4.63391
2003-11-30,28.95,30.33,7.19,1.395,269978,316721,952,1753640,1620080,7341440,239.482,63.82,90.9,56305.7,,9782.46,90.21,1058.2,1960.26,6073.02,0.8337,1098.1,136.9,185,1,101.951,137.7,121.5,98.449,100.177,99.448,101.324,100.578,100.79,99.5805,34.913,100.189,99.3582,99.5914,100.512,99.5674,100.586,100.06,100.369,100.453,100.304,101.096,100.13,99.8165,101.676,99.7975,98.6939,100.073,99.1686,99.2373,98.7085,98.8403,100.109,100.43,100.635,98.5649,99.7648,98.9268,99.6783,98.9268,98.9605,98.4141,99.1003,100.462,101.051,101.521,100.214,99.8617,99.2322,100.46,99.8852,100.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,27,4.49167
2003-12-31,30.3,32.51,7.14,1.456,324089,364161,959,2263660,1673110,6865770,258.751,66.72,103.98,72850.7,,10453.9,86.92,1111.92,2003.37,6464,0.7945,1173.55,138.8,185.5,0.98,109.958,137.7,129,98.525,100.32,99.608,101.634,100.652,100.883,99.6955,37.7612,100.251,99.3485,99.6302,100.802,99.5488,100.782,100.205,100.271,100.561,100.622,101.128,100.194,99.9373,101.708,100.076,98.749,99.8856,99.2728,99.2922,98.8048,98.8876,100.362,100.565,100.443,98.6674,99.9471,99.0569,99.7977,99.1997,99.0449,98.3747,99.0232,100.606,101.063,101.539,100.313,100.017,99.4334,100.535,100.064,100.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,16,6.14
2004-01-31,29.53,33.16,7.22,1.566,319783,373195,955,2675830,1674400,6051840,264.923,64.45,113.92,65572.9,,10488.1,87.2,1131.13,2066.15,6551.63,0.8018,1197.17,143.9,186.3,1,122.316,138.9,144.6,98.5971,100.399,99.7187,101.845,100.664,100.962,99.7905,37.9127,100.304,99.3289,99.665,101.029,99.5561,100.917,100.317,100.165,100.648,100.863,101.137,100.252,99.9902,101.727,100.348,98.803,99.7339,99.3476,99.3334,98.9041,98.9476,100.588,100.68,100.229,98.7555,100.074,99.1937,99.8689,99.4207,99.1331,98.3536,99.0002,100.747,101.07,101.492,100.366,100.134,99.6057,100.594,100.185,100.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-7,6.15053
2004-02-29,32.94,36.08,7.25,1.615,296970,345930,961,2511100,1551460,5452310,293.937,63.47,134.78,67783.7,,10583.9,87.31,1144.94,2029.82,6692.37,0.8005,1254.41,145.8,186.7,1.01,126.408,139.3,140.3,98.6516,100.429,99.7561,101.96,100.6,101.026,99.8551,38.4067,100.353,99.3187,99.684,101.118,99.6046,100.997,100.42,100.06,100.712,101.011,101.139,100.329,99.973,101.756,100.585,98.8544,99.6118,99.4129,99.3788,99.004,99.0193,100.766,100.787,100.056,98.8156,100.143,99.3364,99.8698,99.5526,99.2268,98.3512,99.0326,100.811,101.075,101.399,100.405,100.197,99.7461,100.644,100.25,101.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,13,5.37632
2004-03-31,32.29,35.75,7.3,1.598,299959,348992,968,2100920,1685170,5341880,298.274,68.34,136.18,73642.3,,10357.7,87.61,1126.21,1994.22,6599.06,0.8123,1256.75,145.1,187.1,1,120.33,140.3,136.6,98.6815,100.434,99.6947,101.997,100.474,101.074,99.9018,39.0305,100.405,99.2996,99.6806,101.129,99.6883,101.042,100.51,99.9597,100.751,101.063,101.144,100.443,99.8906,101.804,100.766,98.9017,99.5197,99.4697,99.4161,99.1021,99.1003,100.901,100.891,99.9447,98.8418,100.162,99.4766,99.7881,99.5866,99.3265,98.3677,99.0889,100.706,101.091,101.236,100.437,100.202,99.8541,100.698,100.274,101.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,21,5.39609
2004-04-30,35.23,37.31,7.34,,279043,325105,996,1745170,1629220,5535290,317.624,61.83,120.78,72075.6,,10225.6,90.48,1107.3,1920.15,6439.42,0.8344,1213.81,143.4,187.4,1,106.97,141.8,140.9,98.6842,100.431,99.538,101.965,100.331,101.106,99.9379,39.6132,100.459,99.2774,99.6436,101.099,99.787,101.055,100.584,99.8776,100.765,101.042,101.159,100.574,99.7593,101.864,100.88,98.9439,99.452,99.5042,99.419,99.1964,99.1877,100.995,100.993,99.8677,98.8395,100.14,99.5748,99.6292,99.5449,99.4304,98.4029,99.1506,100.393,101.142,101.015,100.46,100.162,99.9313,100.749,100.284,101.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,31,5.71524
2004-05-31,37,39.9,7.46,,273379,326541,1007,1573040,1654210,5910980,341.608,62.85,127.78,78035.5,,10188.5,88.95,1120.68,1986.74,6484.72,0.8206,1198.11,147.6,188.2,1,84.5311,143.3,149.5,98.6635,100.422,99.317,101.866,100.221,101.122,100,39.8078,100.517,99.2628,99.5921,101.086,99.8738,101.017,100.641,99.8239,100.754,100.977,101.169,100.694,99.589,101.89,100.899,98.9809,99.4305,99.5032,99.3996,99.284,99.2754,101.05,101.087,99.8068,98.8236,100.093,99.605,99.4192,99.4641,99.535,98.4568,99.1954,99.932,101.236,100.791,100.459,100.102,99.9804,100.8,100.274,101.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,40,6.335
2004-06-30,33.22,36.92,7.93,,284744,341934,1011,1483680,1619100,6307380,317.43,62.54,120.78,73858.5,,10435.5,88.8,1140.84,2047.79,6602.99,0.8206,1249.82,151.5,188.9,1.03,62.885,142.9,155.5,98.6286,100.407,99.0828,101.712,100.154,101.122,100.073,38.4595,100.581,99.264,99.5575,101.122,99.9331,100.935,100.683,99.795,100.719,100.843,101.157,100.777,99.3948,101.834,100.825,99.0134,99.4903,99.4668,99.3799,99.3613,99.3581,101.064,101.149,99.7582,98.8175,100.041,99.5832,99.2224,99.3885,99.6331,98.5285,99.2176,99.4291,101.374,100.627,100.436,100.046,100.006,100.848,100.257,101.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,49,6.26714
